Institution Name,City,State,Size: Annual Unduplicated Headcount,Percent Part-Time,Percent Non-Traditional Age (25 and Older),Percent Minority,Percent of First-Time Undergrads who are Full-Time,First-Year Retention Rate,Three-Year Graduation Rate,Credentials Awarded per 100 FTE Students,"Percent of Undergrads Receiving Pell, 2011-12","latitude,longitude"
Metropolitan Community College Area,Omaha,NE,32769,59.1,47.1,22.1,56.3,45.4,37.6,19.6,36.5,"41.308576,-95.958146"
Mid-Plains Community College,North Platte,NE,6979,61.9,38,5.4,82.8,50.8,63.5,34.3,30,"41.090324,-100.774525"
Nebraska College of Technical Agriculture,Curtis,NE,413,26.7,5.7,1,98.8,53,56.4,52.5,37.8,"40.63586,-100.510629"
Nebraska Indian Community College,Macy,NE,266,60.7,60.1,98.1,54.8,30,9.3,16,50.9,"39.818524,-84.23352"
Northeast Community College,Norfolk,NE,7323,58,37.4,9.2,87.8,62.2,57.3,42.5,26.8,"42.047373,-97.39492"
Southeast Community College Area,Lincoln,NE,17195,46.2,35.3,9.8,83.3,67.6,59.1,29.2,42.5,"41.897647,-71.455168"
Western Nebraska Community College,Scottsbluff,NE,8422,51.5,37.1,10.6,82.6,50,46.9,26.1,40.6,"41.875215,-103.642775"
Great Bay Community College,Portsmouth,NH,2969,71.3,40.6,3.6,46.5,49.5,15,31.7,32.7,"43.07218,-70.798842"
Lakes Region Community College,Laconia,NH,2321,49.7,36.1,1.2,69.3,56.2,39,45.8,43.5,"43.507605,-71.462597"
Manchester Community College,Manchester,NH,4707,69.7,43.6,7,54.9,54,23.9,29.4,33.8,"43.018807,-71.483825"
Nashua Community College,Nashua,NH,3416,65.7,34.1,8.4,50.6,54.1,22.6,35.4,29.9,"42.794532,-71.524116"
NHTI-Concord's Community College,Concord,NH,5919,52.3,32.3,4.2,78.4,55.6,24.2,39.1,35.6,"43.222875,-71.531659"
River Valley Community College,Claremont,NH,1765,73.8,54.3,3,42.5,59.5,19.3,45.7,44.1,"43.398845,-72.333191"
White Mountains Community College,Berlin,NH,1541,62.5,48.6,2.1,59.3,58.9,39.5,48.1,50.5,"44.503383,-71.158344"
Atlantic Cape Community College,Mays Landing,NJ,10656,49.6,32.9,27.7,68,56.3,32,28.3,51.7,"39.461307,-74.681374"
Bergen Community College,Paramus,NJ,24283,42.3,29.2,29,79,63.1,31.6,33.2,34.6,"40.950771,-74.089192"
Brookdale Community College,Lincroft,NJ,21699,44.6,26.8,20.1,84.6,65.6,40,32.7,28.2,"40.329076,-74.130206"
Burlington County College,Pemberton,NJ,17770,46.7,35.7,25.2,80.5,59.1,42.4,30.8,36.5,"39.96469,-74.643671"
Camden County College,Blackwood,NJ,21832,48.7,39.9,30.3,75.4,58,31.1,32.5,37.7,"39.785016,-75.03848"
County College of Morris,Randolph,NJ,12491,45.2,24.6,16,80.8,65.3,48,35,22.5,"40.858486,-74.580583"
Cumberland County College,Vineland,NJ,5476,42.8,37.5,46.1,77.5,63.1,41.5,37,68.7,"39.441682,-75.057259"
Essex County College,Newark,NJ,16544,37.8,41.1,74,89.2,46,18.3,22.1,57.3,"40.738112,-74.17859"
Gloucester County College,Sewell,NJ,10782,41.5,27.9,16,78.6,58.5,45.4,32.8,30.1,"39.780731,-75.120209"
Hudson County Community College,Jersey City,NJ,12986,35.2,38.6,67.6,84.6,52.6,30.7,21.5,88.1,"40.731069,-74.062787"
Mercer County Community College,West Windsor,NJ,13519,59.1,39.2,36.8,62.9,53.8,36.5,28.5,23.9,"40.256063,-74.649809"
Middlesex County College,Edison,NJ,19037,45.9,25.5,33.7,81,62.5,35.8,29.5,39,"40.504198,-74.365144"
Ocean County College,Toms River,NJ,16447,45.3,27.9,12.3,82.2,63.4,45.1,35.9,30.6,"40.007722,-74.166188"
Passaic County Community College,Paterson,NJ,13475,68.3,40.5,83.3,46.5,55.3,24.6,17.8,55.6,"40.916888,-74.168849"
Raritan Valley Community College,Branchburg,NJ,12461,53.5,30.6,21.7,77.3,63.1,38.9,31.6,22.5,"40.61327,-74.687476"
Salem Community College,Carneys Point,NJ,1800,39.3,33.5,27.5,69.5,54.8,44.1,34,46.1,"39.701463,-75.47012"
Sussex County Community College,Newton,NJ,5089,42,25,7.9,82.9,63.9,43.7,37.4,35.1,"41.068413,-74.758577"
Union County College,Cranford,NJ,17304,52.6,46.1,54.5,81,54.4,25.4,23.3,42.5,"40.667658,-74.320932"
Warren County Community College,Washington,NJ,3038,54.7,28,13.3,40.8,42.9,42.1,36.3,35.5,"40.744703,-75.018328"
Central New Mexico Community College,Albuquerque,NM,42440,65.6,54.3,53.2,57.4,49.2,24.5,29.1,42.2,"35.076188,-106.629104"
Clovis Community College,Clovis,NM,6103,75.6,58.1,32.4,60.1,33.5,19.5,23.8,35.7,"34.402401,-103.165188"
Eastern New Mexico University-Roswell Campus,Roswell,NM,6148,57.7,50.2,52,84.6,47.6,22.6,28.7,35.7,"33.311916,-104.525674"
Eastern New Mexico University-Ruidoso Campus,Ruidoso,NM,1710,72.4,50.4,40.5,81.6,43.6,29.8,10,27.7,"33.337713,-105.676451"
Luna Community College,Las Vegas,NM,2790,67.2,42.9,80.4,72.4,44.2,25.3,21.5,31.3,"35.616406,-105.250897"
Mesalands Community College,Tucumcari,NM,1749,66.1,53.2,36.1,70,62.8,52.6,24.6,21.5,"35.173467,-103.723917"
New Mexico Junior College,Hobbs,NM,5951,62.8,40.6,49.2,69.1,57.2,38.8,22,24.8,"32.757706,-103.180931"
New Mexico State University-Alamogordo,Alamogordo,NM,5597,70.2,50,47.7,79.8,47.9,15.9,26.2,52,"32.919342,-105.925747"
New Mexico State University-Carlsbad,Carlsbad,NM,2993,71.7,35.7,51.2,78.3,41.3,8.6,23.2,40.1,"32.441213,-104.266188"
New Mexico State University-Dona Ana,Las Cruces,NM,13011,58.6,36.7,70.9,70.3,49.4,22.2,37,56.3,"32.282292,-106.754165"
New Mexico State University-Grants,Grants,NM,2290,70.1,49.6,63.8,77.1,40.5,27.3,24.3,58.3,"35.088649,-108.084507"
San Juan College,Farmington,NM,12435,65.9,61,47,77.2,53.7,27.6,26.5,30,"36.770371,-108.169729"
Santa Fe Community College,Santa Fe,NM,7405,65.1,61,48.8,67.6,49.6,31.8,25.1,45.7,"35.605435,-105.998532"
Southwestern Indian Polytechnic Institute,Albuquerque,NM,725,15.4,37.9,100,86.6,37.2,16.7,25.9,61,"35.176251,-106.670835"
University of New Mexico-Gallup Campus,Gallup,NM,3828,53.6,40.3,88.9,65,51.6,8.5,16.2,66.5,"35.530312,-108.750996"
University of New Mexico-Los Alamos Campus,Los Alamos,NM,1438,72.1,49,48.2,80.8,46.4,20.2,17.7,30.3,"35.886098,-106.318967"
University of New Mexico-Taos Campus,Ranchos de Taos,NM,2244,56.3,52.3,64.9,76.2,53.8,8.9,11,56.9,"36.348574,-105.652406"
University of New Mexico-Valencia County Campus,Los Lunas,NM,3575,48.8,38.6,65.6,83.7,55.2,8.8,15.9,60.2,"34.806166,-106.73336"
Truckee Meadows Community College,Reno,NV,16617,75.1,42.7,24.4,28.1,52.4,33.9,27.1,37.3,"39.571964,-119.796967"
Adirondack Community College,Queensbury,NY,5218,42.8,31.4,3.6,87.9,57.3,37.2,33.9,38.7,"43.354045,-73.655031"
Broome Community College,Binghamton,NY,8700,29.4,34.5,6.9,93.4,60.4,42.5,40.9,45.5,"42.132887,-75.907856"
Cayuga County Community College,Auburn,NY,7543,46.3,33.2,8.7,89.6,56.4,40.6,33.2,46.7,"42.931734,-76.566053"
Clinton Community College,Plattsburgh,NY,2798,41.7,22.1,8.5,94.9,50,44.9,40.9,38.7,"44.648192,-73.439933"
Columbia-Greene Community College,Hudson,NY,2723,50.5,29.1,12.2,88.4,59.6,42.8,46.3,40.9,"42.217669,-73.817645"
Corning Community College,Corning,NY,6654,53.4,24.4,6.4,85.1,53.7,39.4,39,37,"42.117514,-77.072342"
CUNY Borough of Manhattan Community College,New York,NY,31602,35.1,32,69.6,81.8,61.8,33.1,31.7,67.9,"40.712784,-74.005941"
CUNY Bronx Community College,Bronx,NY,15589,42.9,38,91.6,86.7,59.8,22.4,26.2,72.8,"40.83705,-73.865429"
CUNY Hostos Community College,Bronx,NY,8908,41,41.4,88.8,92.3,60.9,24.1,27,71.3,"40.83705,-73.865429"
CUNY Kingsborough Community College,Brooklyn,NY,26132,41.8,26,48.9,94.3,66.2,40.1,32.7,48.8,"40.678178,-73.944158"
CUNY LaGuardia Community College,Long Island City,NY,23928,44.3,36.3,58.2,83.9,64.7,29,34.7,48.2,"40.744769,-73.935817"
CUNY Queensborough Community College,Bayside,NY,21758,43.1,25,51.6,84.5,69.7,36.3,27.5,48.5,"40.758557,-73.765437"
Dutchess Community College,Poughkeepsie,NY,13280,50.6,22.6,24,90,63.1,43.7,33.3,24.3,"41.722218,-73.90679"
Erie Community College,Buffalo,NY,27112,34,33.7,16.9,88.9,55.5,36.5,33.4,45,"42.881857,-78.872607"
Finger Lakes Community College,Canandaigua,NY,10047,43.9,26.2,10.5,92.8,55.4,52.4,37.8,41.7,"42.867185,-77.241009"
Fulton-Montgomery Community College,Johnstown,NY,3470,35.7,28.6,16.3,92.6,53.9,50.6,40,50.4,"42.98302,-74.295285"
Genesee Community College,Batavia,NY,9029,49.9,23.8,9.4,92,54.1,51.4,36.3,38.2,"43.016949,-78.137836"
Herkimer County Community College,Herkimer,NY,5401,32.9,23.2,17.4,95.4,49.9,58.7,38.7,51.5,"43.025626,-74.985989"
Hudson Valley Community College,Troy,NY,19075,43.8,27.4,15,91.4,55,47,38.2,29.6,"42.696837,-73.681959"
Jamestown Community College,Jamestown,NY,6841,45.9,23.2,9.1,91.8,59.5,47,42.2,40.2,"42.1159,-79.220023"
Jefferson Community College,Watertown,NY,5734,41.4,35.4,16.1,85.6,53.5,47.4,42.2,46.1,"43.991633,-75.933357"
Mohawk Valley Community College-Utica Branch,Utica,NY,10238,35.8,28.7,13.5,93.5,58.4,41.4,32.8,53,"43.100903,-75.232664"
Monroe Community College,Rochester,NY,31719,37.9,34.6,22.7,87.8,58.3,45.1,36.1,48.4,"43.10112,-77.609219"
Nassau Community College,Garden City,NY,33018,36.6,23.7,37.5,86.6,69.6,35.5,29.2,35,"40.728808,-73.591887"
Niagara County Community College,Sanborn,NY,8714,38.7,23.2,12.6,90.9,61.1,40.9,41.6,41.1,"43.147271,-78.875384"
North Country Community College,Saranac Lake,NY,2913,54.2,21.9,7.3,93.3,49.1,41.9,42,35,"44.318686,-74.120061"
Onondaga Community College,Syracuse,NY,19490,46.5,27.9,15.4,91.9,55.8,36.3,27.9,33.3,"43.003289,-76.196699"
Orange County Community College,Middletown,NY,9746,50.2,27.2,30.7,81.3,56.6,36.4,31.8,25.3,"41.438598,-74.42718"
Rockland Community College,Suffern,NY,12350,40.9,28.5,28.5,93.6,70.1,40.9,32.9,31.4,"41.13347,-74.090226"
Schenectady County Community College,Schenectady,NY,8917,60.5,27.4,13.4,86.1,53.1,37.1,31.4,31.7,"42.814843,-73.953996"
Suffolk County Community College,Selden,NY,34629,43.8,24.7,21.6,82,62.6,33.3,33.1,27.8,"40.846904,-73.05361"
Sullivan County Community College,Loch Sheldrake,NY,2316,33.5,23.8,32.6,94.4,45.7,48.6,35.2,55.8,"41.767739,-74.658533"
SUNY Westchester Community College,Valhalla,NY,22018,47,31.7,42.1,81.3,59.4,30.6,24.6,32.3,"41.068425,-73.789609"
Tompkins Cortland Community College,Dryden,NY,8875,48.3,19.2,13.2,95.9,55.5,47.8,34.7,34.8,"42.502542,-76.287885"
Ulster County Community College,Stone Ridge,NY,5025,54.6,23.6,15.3,87.7,55.9,43.4,36.4,29.3,"41.851499,-74.128999"
Belmont Technical College,Saint Clairsville,OH,2924,26.3,51.5,4.1,94.2,55.9,29.2,34.1,70.3,"40.08032,-80.90176"
Bowling Green State University-Firelands,Huron,OH,3042,45,39.4,14.3,80.9,48.6,33.4,24,49.6,"41.395049,-82.555173"
Central Ohio Technical College,Newark,OH,6923,55.8,54.8,11.4,61.9,46.1,32.8,33.2,60.1,"40.067857,-82.446785"
Cincinnati State Technical and Community College,Cincinnati,OH,19500,64.5,54.6,32.4,63.9,46.3,13.9,28,49,"39.149607,-84.536318"
Clark State Community College,Springfield,OH,9194,55.9,55.6,15.6,63.4,46.8,7.2,23.6,60.8,"39.896454,-83.798235"
Columbus State Community College,Columbus,OH,50240,58.8,50.3,27,56.2,44.8,26.7,20.7,47.4,"39.969396,-82.98862"
Cuyahoga Community College District,Cleveland,OH,37652,62.4,49.8,32.8,61.4,46.1,19.6,22.6,47.5,"41.493178,-81.669359"
Eastern Gateway Community College,Steubenville,OH,3677,50.9,42.9,22.9,67.9,47.1,42.4,27.3,56.9,"40.376253,-80.672155"
Edison State Community College,Piqua,OH,4867,63.2,44.8,3.6,60.1,46.9,56.8,33,44.6,"40.144773,-84.242445"
Hocking College,Nelsonville,OH,9090,29.5,38.8,8.7,91.5,40.4,27.3,31,54.9,"39.44428,-82.221583"
James A Rhodes State College,Lima,OH,5405,46.9,45.2,11.2,86.3,56.8,22.6,39.5,58.6,"40.736963,-84.028111"
Kent State University at Ashtabula,Ashtabula,OH,3687,65.2,55.9,10.4,63.3,53,18.8,26.4,60.8,"41.888969,-80.831976"
Kent State University at East Liverpool,East Liverpool,OH,2374,74.2,46.2,7.4,85.6,54.7,15.1,27.3,61.4,"40.617045,-80.576299"
Kent State University at Geauga,Burton,OH,4768,79.6,44.2,10.9,75,62.8,25.1,13.1,43.9,"41.470609,-81.1451"
Kent State University at Stark,Canton,OH,7015,50.4,36,10.2,85.2,61.5,24.2,8,55.2,"40.866725,-81.436557"
Kent State University at Trumbull,Warren,OH,5424,65.4,50.3,13.4,76,57.3,19.9,11.1,64.9,"41.237557,-80.818417"
Kent State University at Tuscarawas,New Philadelphia,OH,3323,57,40.7,3.2,79.3,64.9,24.2,25.1,58.1,"40.467184,-81.407104"
Lakeland Community College,Kirtland,OH,13236,61.2,46.9,20.1,58.2,44.2,40.8,30.2,42.7,"41.637657,-81.366988"
Lorain County Community College,Elyria,OH,17311,65.4,44.7,20,60.3,55.1,40.9,28.6,49.3,"41.410984,-82.074021"
Marion Technical College,Marion,OH,4344,52.8,49.9,7.6,64.6,49.8,19.3,30.7,46.3,"40.577429,-83.090105"
North Central State College,Mansfield,OH,4555,65.8,47.6,7.9,57.1,43.2,13.6,35.5,52.5,"40.796773,-82.58155"
Northwest State Community College,Archbold,OH,7428,70.3,55.2,9,40.6,52.6,26.8,26.4,46.2,"41.450756,-84.298412"
Ohio State University Agricultural Technical Institute,Wooster,OH,761,11.6,9.5,2.1,100,62.9,23.9,50.3,40.8,"40.775025,-81.923104"
Ohio University-Chillicothe Campus,Chillicothe,OH,3397,34.8,48.1,5.2,83.1,50.2,59.1,19.5,84.3,"39.329135,-83.001025"
Ohio University-Eastern Campus,Saint Clairsville,OH,1722,50.8,30.6,5.8,90.6,59.5,81.6,4.4,47.4,"40.073461,-80.97479"
Ohio University-Lancaster Campus,Lancaster,OH,4012,41.5,35.3,7.5,85.5,59,71.5,9.9,65.7,"39.740708,-82.583965"
Ohio University-Southern Campus,Ironton,OH,3334,34.4,50.9,5.2,91.7,44.9,53.9,19.3,78,"38.525202,-82.666234"
Ohio University-Zanesville Campus,Zanesville,OH,3938,48.2,40.8,5.8,93.1,54.8,77.5,17.4,66.9,"39.958819,-82.028674"
Owens Community College,Perrysburg,OH,24676,61.5,50.9,20.1,63.1,45.8,23,21.8,48.3,"41.588612,-83.538343"
Sinclair Community College,Dayton,OH,35141,55.9,49.8,18.9,68.8,51,29.9,25.5,44,"39.757903,-84.197402"
Southern State Community College,Hillsboro,OH,4640,41.2,46.8,2.6,77.3,49.7,47.9,36.1,61.2,"39.235876,-83.613939"
Stark State College,North Canton,OH,19315,65,53.7,20.1,54,52,14.7,27.3,60.3,"40.870682,-81.439572"
Terra State Community College,Fremont,OH,4548,57.1,46.8,13.9,58,47.6,20.3,19.8,53,"41.353,-83.158443"
University of Akron Wayne College,Orrville,OH,3010,49.9,33.5,5.4,79.2,59.2,21,9.8,41.8,"40.859239,-81.789954"
Washington State Community College,Marietta,OH,3320,36,36,2.1,83.2,53.3,37.2,43.4,45.5,"39.431272,-81.433632"
Wright State University-Lake Campus,Celina,OH,2171,43.3,23.7,4.8,94.1,65.8,42.4,27.5,36.1,"40.546733,-84.508976"
Zane State College,Zanesville,OH,4372,39.8,46.6,6.6,70.9,52.9,25.9,35,60.8,"39.962151,-82.031178"
Carl Albert State College,Poteau,OK,3522,33,35.9,32.6,86.7,48.2,35.9,44.5,58.1,"35.039325,-94.634055"
Connors State College,Warner,OK,3564,36.8,43.5,44.9,78.4,46.2,40.8,28.4,55.6,"35.492081,-95.320251"
Eastern Oklahoma State College,Wilburton,OK,2632,42.9,37.8,32,85.7,43.3,39.6,29.7,56.7,"34.914577,-95.329064"
Murray State College,Tishomingo,OK,3602,50.8,38.7,23.9,72.9,45.9,35.8,38,68.7,"34.222344,-96.676509"
Northeastern Oklahoma A&M College,Miami,OK,3461,26,26.7,30.9,92.8,52.2,45,37.9,58.9,"36.877676,-94.865371"
Northern Oklahoma College,Tonkawa,OK,7404,48.3,27,22,81.2,51.7,50.8,41.6,29,"36.678352,-97.296821"
Oklahoma City Community College,Oklahoma City,OK,22578,62.2,43.6,21.6,52.5,43.5,33.2,24.7,38.6,"35.387801,-97.569917"
Oklahoma State University Institute of Technology-Okmulgee,Okmulgee,OK,5646,45,30.4,30,66.5,45.9,47.6,40.2,39.7,"35.624324,-95.943992"
Oklahoma State University-Oklahoma City,Oklahoma City,OK,11513,71.2,53.9,27.1,44.2,45.8,46,26.1,44.7,"35.471216,-97.58154"
Redlands Community College,El Reno,OK,3628,60.8,31.3,22.1,71.7,40.2,40.5,34.5,34,"35.519723,-97.974283"
Rose State College,Midwest City,OK,11897,60.8,48.7,29.3,60,41.2,30.6,28.5,40.5,"35.443821,-97.413276"
Seminole State College,Seminole,OK,3289,53.4,40.5,31,68.3,47.6,40.6,36.4,43.5,"28.745092,-81.305622"
Tulsa Community College,Tulsa,OK,29398,61.4,45.4,24.7,56.8,47.4,26.5,32.5,41.5,"36.106768,-95.90814"
Western Oklahoma State College,Altus,OK,8089,82.7,16.2,34.9,80.4,45.5,35.4,28.7,15.7,"34.669921,-99.33662"
Blue Mountain Community College,Pendleton,OR,4660,51.2,38.4,19.7,79.2,50.3,39.6,26.7,41.4,"45.677052,-118.815202"
Central Oregon Community College,Bend,OR,11334,53.5,52.8,9.7,57.6,51.1,51.5,20,52.4,"44.071862,-121.346698"
Chemeketa Community College,Salem,OR,22293,50.2,47.4,21,56.5,38.8,41.8,24.9,45.4,"44.980669,-122.977353"
Clackamas Community College,Oregon City,OR,16193,57.2,46.6,13,47.8,50.8,48,30.8,35.1,"45.32303,-122.574266"
Clatsop Community College,Astoria,OR,2559,57.3,48.7,11.2,65.9,39.2,43.3,25.3,35.6,"46.18332,-123.82322"
Columbia Gorge Community College,The Dalles,OR,2047,56.5,47.9,20.4,44.8,28.3,48.4,44.1,48.4,"45.590416,-121.189515"
Klamath Community College,Klamath Falls,OR,2745,62.6,57.4,6.6,42.3,37.4,19.6,15.5,76.7,"42.19551,-121.701061"
Lane Community College,Eugene,OR,19440,53.5,57.5,8.5,52.7,54.5,31.7,31.2,60.9,"44.008466,-123.032842"
Linn-Benton Community College,Albany,OR,12360,50.3,41.1,8.5,56.2,51.5,29.9,25.2,43.9,"44.39725,-122.724838"
Mt Hood Community College,Gresham,OR,16366,54.1,47.4,14.9,54.8,48.2,42.8,41.5,39.4,"45.516527,-122.396182"
Oregon Coast Community College,Newport,OR,764,64.9,45.6,10.9,37.4,35,44.9,32.5,37.5,"44.602999,-124.046488"
Portland Community College,Portland,OR,55558,58.7,56.1,15.2,50.1,51.1,40,26.3,40,"45.438047,-122.732069"
Rogue Community College,Grants Pass,OR,10897,56.1,52.7,13.4,48.5,49.1,33.8,25.2,55.4,"42.413142,-123.392885"
Southwestern Oregon Community College,Coos Bay,OR,2279,51.7,38.9,9.9,76,48.4,48,36.5,44,"43.393774,-124.253374"
Tillamook Bay Community College,Tillamook,OR,939,60,40,9.4,44.4,49.6,54.3,21.4,50.6,"45.456709,-123.813711"
Treasure Valley Community College,Ontario,OR,4892,48.6,44.4,21.8,63.6,42,14.2,26.6,63.2,"44.02345,-116.974177"
Umpqua Community College,Roseburg,OR,4543,52.5,55.7,8,65.5,45.6,30.5,31.4,64.2,"43.290256,-123.33553"
Bucks County Community College,Newtown,PA,16500,66.7,32.1,9.1,55.8,52.8,41.9,21.6,22.1,"40.239055,-74.967149"
Butler County Community College,Butler,PA,5780,46.4,33.9,5.1,78,44.7,48.3,29.4,49.8,"40.832481,-79.912274"
Community College of Allegheny County,Pittsburgh,PA,31029,60.5,45.4,18.6,59.9,50.9,35,27.9,41.7,"40.453564,-79.752373"
Community College of Beaver County,Monaca,PA,4232,53.1,39.2,10.4,76.3,45.1,29.2,39,43.7,"40.656203,-80.305293"
Community College of Philadelphia,Philadelphia,PA,29095,72,46.2,51.8,36.3,49.1,35.7,22.8,61.2,"39.96243,-75.165738"
Delaware County Community College,Media,PA,19414,59.5,38.8,26.7,55.2,55.1,38.3,26.5,38.2,"39.967827,-75.392851"
Harrisburg Area Community College-Harrisburg,Harrisburg,PA,31794,67.2,44.2,19.1,49.7,50.3,31.3,27.7,40.3,"40.271803,-76.890979"
Lehigh Carbon Community College,Schnecksville,PA,11058,64.6,33.4,21.1,67.2,49.1,40.4,31.3,29.1,"40.664944,-75.612807"
Luzerne County Community College,Nanticoke,PA,9673,48.7,37.7,10.2,71.8,50.8,40.8,34.4,41.9,"41.191672,-75.995598"
Montgomery County Community College-Central Campus,Blue Bell,PA,21419,59.2,36.5,17.9,61.6,52.4,39.7,32.7,26.6,"40.17559,-75.276081"
Montgomery County Community College-West Campus,Pottstown,PA,21419,64.5,36.2,17.9,49,47.6,38.9,32.7,26.6,"40.244102,-75.65145"
Northampton County Area Community College,Bethlehem,PA,16222,55.9,35.3,28,69.7,54.5,46.4,32.6,39.6,"40.612493,-75.371505"
Pennsylvania Highlands Community College,Johnstown,PA,3984,67.1,15.7,3.9,84.2,58.6,33.7,29.5,24.8,"40.264073,-78.837265"
Reading Area Community College,Reading,PA,7383,76.3,42.3,35.8,32,45.8,31.1,21.7,58.8,"40.332455,-75.935437"
Thaddeus Stevens College of Technology,Lancaster,PA,915,2.3,12.3,24.5,99.1,70.5,54.7,58.9,54.9,"40.03799,-76.28874"
University of Pittsburgh-Titusville,Titusville,PA,495,13.8,22.1,22.6,97.2,57.4,48.3,27.8,64.1,"41.629289,-79.663893"
Westmoreland County Community College,Youngwood,PA,10880,52.9,40.1,5.1,65.1,51.1,15.3,26.1,45.7,"40.234579,-79.564903"
Community College of Rhode Island,Warwick,RI,24616,65.9,40.1,25.9,54.6,54.2,29,27.1,53.1,"41.897647,-71.455168"
Aiken Technical College,Graniteville,SC,4241,56.6,40.5,37.5,66.5,51.1,26.2,23.5,44.6,"33.533019,-81.842707"
Central Carolina Technical College,Sumter,SC,6261,64.5,49.4,49.8,56.2,50.2,25.3,18.3,72.1,"33.933742,-80.371375"
Denmark Technical College,Denmark,SC,2642,17.3,30.9,95.9,79.6,27.7,24,14.5,82.6,"33.312359,-81.1234"
Florence-Darlington Technical College,Florence,SC,8387,48.2,41.7,52.6,62.8,48.3,21.6,24.2,68.3,"34.244378,-79.816024"
Greenville Technical College,Greenville,SC,20098,56.6,44.7,30.3,70.2,49,33.7,23.2,53.9,"34.827279,-82.3736"
Horry-Georgetown Technical College,Conway,SC,10305,59.5,45.3,26.8,65.7,51.4,31,27,56.4,"33.794748,-79.003048"
Midlands Technical College,West Columbia,SC,17486,54.3,42.5,40.7,68.5,48.5,29.9,23.1,53.7,"33.988141,-80.980211"
Northeastern Technical College,Cheraw,SC,1684,47.6,39.5,45,74.9,50.9,26.5,32.1,68.7,"34.69919,-79.938807"
Orangeburg Calhoun Technical College,Orangeburg,SC,3999,58.9,32.1,58.7,73,48.9,20,21.5,61.6,"33.543876,-80.829581"
Piedmont Technical College,Greenwood,SC,8699,56.4,43,40.4,64.3,52.5,31.7,26.6,64,"34.206362,-82.123078"
Spartanburg Community College,Spartanburg,SC,8595,51,38,28.9,70,50.2,24,21.1,58.5,"34.974237,-81.989863"
Technical College of the Lowcountry,Beaufort,SC,3687,68.4,52,43.8,40.2,42.8,40.3,21.4,65.5,"32.419711,-80.688521"
Tri-County Technical College,Pendleton,SC,8998,42.5,29.4,16.1,85.7,43,51.5,23.8,48.3,"34.810747,-82.530944"
Trident Technical College,Charleston,SC,24132,55,49.3,36.1,64.8,53.4,31.1,20.1,54.9,"32.926073,-80.032646"
University of South Carolina-Lancaster,Lancaster,SC,2239,51,16.3,23.5,91.1,54.6,59.4,23.3,33.7,"34.737477,-80.784606"
University of South Carolina-Salkehatchie,Allendale,SC,1502,47.7,28.9,49.5,76.2,45.3,49.1,36.7,51.9,"33.014658,-81.297989"
University of South Carolina-Sumter,Sumter,SC,1253,46.1,17,33.9,95.2,51,57.9,19.1,34.6,"33.934967,-80.37352"
University of South Carolina-Union,Union,SC,700,54.3,19,37,81.8,59.2,58.2,29.8,47,"34.717849,-81.621018"
Williamsburg Technical College,Kingstree,SC,981,59.5,46.7,72.3,39.5,36.5,30.5,30.4,72,"33.657252,-79.816629"
York Technical College,Rock Hill,SC,7950,52.9,41.6,28.9,72.4,50.5,28,24.4,53.5,"34.935098,-80.995289"
Lake Area Technical Institute,Watertown,SD,1703,12.2,29.5,4.5,90.2,81.6,73,47,49.6,"44.901127,-97.095269"
Mitchell Technical Institute,Mitchell,SD,1234,14.4,29.4,5.8,98.3,72.8,73.4,60.7,55.5,"43.687651,-98.005252"
Sisseton Wahpeton College,Sisseton,SD,390,34.1,67.3,76.2,89.4,32.1,18.3,33.8,56.8,"45.562969,-97.060258"
Southeast Technical Institute,Sioux Falls,SD,3175,23.9,35.4,6,92.1,57.6,47.2,51.6,47.7,"43.568178,-96.782059"
Western Dakota Technical Institute,Rapid City,SD,1336,17.5,51.3,16.6,94.4,61.4,38.4,50.3,58,"44.076609,-103.178971"
Chattanooga State Community College,Chattanooga,TN,13606,54.3,42.7,20.6,66.4,52.2,17.9,26,49.5,"35.100118,-85.2373"
Cleveland State Community College,Cleveland,TN,4986,44.5,40.3,9.2,90.2,53.5,26.8,30.3,52.5,"35.200228,-84.878933"
Columbia State Community College,Columbia,TN,7393,54.9,31.7,11.7,68.1,51.8,32.5,33.3,43.4,"35.616858,-87.100272"
Dyersburg State Community College,Dyersburg,TN,4765,54.5,38,25.1,69.9,47.2,24.3,22.3,55.1,"36.048379,-89.390241"
Jackson State Community College,Jackson,TN,6752,46.8,33.9,22.9,83.7,46.9,22.5,31.7,50.8,"35.645597,-88.780024"
Motlow State Community College,Tullahoma,TN,6689,55.6,28.9,13.8,72.7,53.6,34.7,32.6,34.5,"35.365768,-86.299862"
Nashville State Community College,Nashville,TN,14329,66.5,52.2,34.7,50.9,50.3,27,21.3,49.5,"36.134826,-86.857711"
Northeast State Community College,Blountville,TN,8468,45.3,43.1,5.5,79.8,56.7,24,33.6,54.4,"36.487183,-82.406875"
Pellissippi State Community College,Knoxville,TN,15625,49.5,34.1,12,79.8,52.7,27.6,28,41.2,"35.94847,-84.165276"
Roane State Community College,Harriman,TN,8861,55.2,34.5,5.5,70.8,55.9,34.1,35,46.7,"35.881192,-84.620728"
Southwest Tennessee Community College,Memphis,TN,19592,53.8,42.5,65.7,61.1,43.4,16.7,16.9,59.6,"35.16169,-89.866397"
Volunteer State Community College,Gallatin,TN,11894,53.6,35.8,12.1,70.8,51.6,26.3,27.2,41.8,"36.362364,-86.497263"
